laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,target_bad
1.0,-0.03688321759487177,4.0,2.0,-0.1102733612249993,1.0,2.0,4.0,2.0,1.0,4.0,2.0,-0.1536345779860175,3.0,1.0,1.0,3.0,2.0,1.0,2.0,0
1.0,-0.041739011285892,4.0,0.0,-0.04847671387105799,1.0,3.0,2.0,3.0,1.0,2.0,1.0,-0.06234357095833166,3.0,1.0,2.0,3.0,1.0,1.0,2.0,0
2.0,-0.04012041338888526,2.0,9.0,-0.11761833416763917,2.0,4.0,2.0,2.0,1.0,4.0,1.0,-0.14146244371565941,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0
1.0,-0.04012041338888526,4.0,0.0,-0.07238318830455415,1.0,3.0,3.0,3.0,1.0,2.0,1.0,-0.04408536955279449,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0
1.0,-0.04012041338888526,4.0,0.0,-0.07065288217864378,1.0,3.0,4.0,3.0,1.0,4.0,2.0,-0.050171436687973546,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0
1.0,-0.04119947865355642,4.0,0.0,-0.06818101628448613,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.010689234663817031,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0
1.0,-0.04227854391822758,4.0,0.0,-0.027324604291051796,1.0,4.0,1.0,3.0,1.0,4.0,1.0,-0.04408536955279449,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0
1.0,-0.04335760918289874,4.0,0.0,-0.09925590181103948,1.0,2.0,2.0,3.0,1.0,4.0,829.0,-0.03799930241761543,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0
4.0,-0.03688321759487177,4.0,3.0,-0.10854305509908893,1.0,1.0,4.0,2.0,1.0,4.0,3.0,0.11415237596186101,3.0,2.0,2.0,1.0,2.0,1.0,2.0,0
2.0,-0.03364602180085828,2.0,3.0,-0.014612151121098156,3.0,1.0,1.0,2.0,1.0,4.0,4.0,-0.14146244371565941,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0
1.0,-0.04065994602122084,4.0,0.0,-0.009421232743367087,1.0,3.0,2.0,3.0,1.0,2.0,1.0,-0.06234357095833166,3.0,1.0,2.0,3.0,1.0,1.0,2.0,0
1.0,-0.030408826006844795,4.0,1.0,0.07116159540617237,2.0,4.0,1.0,4.0,1.0,4.0,3.0,-0.13537637658048035,3.0,1.0,2.0,3.0,2.0,1.0,2.0,0
1.0,-0.04335760918289874,4.0,3.0,-0.0782097293407829,1.0,4.0,1.0,2.0,1.0,4.0,3.0,-0.09277390663422695,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
2.0,-0.020697238624804336,3.0,10.0,0.12042235143974273,2.0,1.0,2.0,3.0,1.0,4.0,4.0,-0.09277390663422695,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0
1.0,-0.03688321759487177,2.0,3.0,-0.07895128910903018,5.0,4.0,2.0,4.0,1.0,4.0,3.0,-0.14146244371565941,3.0,1.0,2.0,2.0,2.0,1.0,2.0,0
1.0,-0.04335760918289874,2.0,3.0,-0.053844194098371746,3.0,3.0,2.0,3.0,1.0,3.0,1.0,-0.0136550338768992,3.0,1.0,1.0,3.0,1.0,1.0,2.0,0
1.0,-0.04065994602122084,4.0,0.0,-0.008220612166204799,1.0,3.0,1.0,3.0,1.0,2.0,1.0,-0.03799930241761543,3.0,2.0,2.0,3.0,1.0,1.0,2.0,0
2.0,-0.03688321759487177,2.0,3.0,-0.03385739272561131,3.0,2.0,1.0,4.0,1.0,3.0,1.0,-0.1292903094453013,3.0,1.0,1.0,3.0,2.0,1.0,2.0,0
2.0,-0.02717163021283131,4.0,3.0,-0.0647910287724985,1.0,5.0,4.0,3.0,1.0,4.0,1.0,-0.06234357095833166,3.0,2.0,1.0,285.0,2.0,1.0,2.0,0
4.0,-0.04065994602122084,4.0,0.0,0.10792177248928832,1.0,3.0,1.0,3.0,1.0,4.0,2.0,-0.04408536955279449,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0
1.0,-0.04335760918289874,4.0,0.0,-0.017507765454254264,1.0,3.0,1.0,3.0,1.0,3.0,1.0,-0.0562575038231526,3.0,1.0,3.0,3.0,1.0,1.0,2.0,0
2.0,-0.04012041338888526,4.0,0.0,-0.037000193648183174,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.016775301798996087,1.0,2.0,2.0,2.0,1.0,1.0,60.0,0
2.0,-0.02717163021283131,2.0,5.0,-0.06313134738642122,1.0,2.0,4.0,3.0,1.0,1.0,4.0,-0.08060177236386884,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2.0,-0.04012041338888526,4.0,4.0,-0.09703122250629759,1.0,4.0,4.0,3.0,1.0,3.0,2.0,-0.12320424231012224,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
1.0,-0.04335760918289874,4.0,0.0,0.01921709925894514,5.0,2.0,1.0,3.0,1.0,3.0,1.0,-0.0136550338768992,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0
2.0,-0.04065994602122084,3.0,3.0,0.021159279604354722,1.0,4.0,2.0,3.0,1.0,4.0,2.0,0.028947436069354203,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
1.0,-0.04012041338888526,2.0,2.0,-0.12429237208186483,1.0,5.0,4.0,2.0,1.0,4.0,2.0,-0.13537637658048035,3.0,1.0,1.0,3.0,2.0,1.0,2.0,0
2.0,-0.041739011285892,4.0,3.0,-0.10656556238376282,1.0,5.0,2.0,3.0,1.0,4.0,1.0,-0.0562575038231526,3.0,2.0,3.0,2.0,2.0,1.0,2.0,0
4.0,-0.03850181549187851,2.0,0.0,-0.02174524984423881,5.0,3.0,3.0,3.0,1.0,2.0,4.0,-0.10494604090458506,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
3.0,-0.02393443441881782,4.0,1.0,0.02204208885226817,1.0,5.0,4.0,3.0,1.0,4.0,4.0,0.05937777174524949,3.0,3.0,1.0,3.0,2.0,1.0,2.0,0
3.0,-0.030408826006844795,4.0,3.0,-0.04077861722925273,1.0,5.0,4.0,3.0,1.0,4.0,2.0,0.004603167528637974,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
4.0,-0.02717163021283131,4.0,0.0,-0.022486809612486107,1.0,4.0,4.0,3.0,1.0,4.0,3.0,-0.0562575038231526,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
4.0,-0.02717163021283131,4.0,0.0,0.08623997736053406,1.0,5.0,4.0,3.0,1.0,4.0,3.0,-0.07451570522868978,3.0,2.0,2.0,4.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,2.0,3.0,-0.0987262162622914,3.0,4.0,4.0,2.0,1.0,1.0,3.0,-0.11103210803976413,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
1.0,-0.03850181549187851,2.0,0.0,-0.08654344864108583,1.0,2.0,2.0,3.0,1.0,3.0,1.0,-0.06234357095833166,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
1.0,-0.04335760918289874,4.0,0.0,-0.11694739913922496,1.0,5.0,1.0,2.0,1.0,4.0,216.0,-0.04408536955279449,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
4.0,-0.04012041338888526,4.0,0.0,-0.0945240442422234,1.0,5.0,4.0,3.0,1.0,1.0,1.0,-0.050171436687973546,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0
4.0,-0.04012041338888526,4.0,3.0,-0.07902191384886326,1.0,5.0,2.0,3.0,1.0,2.0,4.0,-0.12320424231012224,3.0,2.0,2.0,3.0,2.0,1.0,2.0,0
4.0,-0.03688321759487177,2.0,1.0,-0.028030851689382554,5.0,3.0,2.0,3.0,1.0,1.0,3.0,-0.09277390663422695,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,4.0,1.0,-0.010727790430278989,1.0,5.0,4.0,2.0,1.0,2.0,3.0,-0.03191323528243637,3.0,1.0,2.0,4.0,2.0,2.0,2.0,0
4.0,-0.04012041338888526,4.0,5.0,-0.1121449168305758,5.0,4.0,4.0,2.0,1.0,4.0,1.0,-0.14146244371565941,3.0,2.0,2.0,3.0,2.0,1.0,2.0,0
1.0,-0.03364602180085828,2.0,10.0,-0.08534282806392354,1.0,5.0,4.0,2.0,3.0,4.0,1.0,0.07154990601560761,3.0,2.0,1.0,2.0,2.0,2.0,2.0,0
4.0,-0.03688321759487177,4.0,0.0,-0.11101492099324659,1.0,3.0,4.0,3.0,1.0,3.0,1.0,-0.06234357095833166,3.0,2.0,2.0,3.0,2.0,1.0,2.0,0
2.0,-0.03364602180085828,4.0,9.0,-0.047558592253228005,5.0,4.0,4.0,3.0,1.0,3.0,4.0,-0.07451570522868978,3.0,2.0,2.0,3.0,1.0,2.0,2.0,0
2.0,-0.03688321759487177,2.0,6.0,-0.1035640109408571,5.0,3.0,4.0,3.0,1.0,4.0,4.0,-0.08060177236386884,3.0,3.0,1.0,3.0,2.0,1.0,54.0,0
1.0,-0.03688321759487177,2.0,0.0,-0.10437619544893746,1.0,2.0,4.0,2.0,1.0,3.0,3.0,-0.14146244371565941,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1
4.0,-0.03364602180085828,2.0,9.0,-0.10289307591244287,1.0,4.0,4.0,3.0,1.0,1.0,1.0,-0.1292903094453013,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03688321759487177,4.0,6.0,-0.08149377974302091,2.0,3.0,4.0,2.0,1.0,2.0,1.0,-0.098859973769406,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1
4.0,-0.03364602180085828,2.0,0.0,-0.0952656040104707,2.0,2.0,4.0,4.0,1.0,3.0,1.0,-0.08060177236386884,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
1.0,-0.03364602180085828,4.0,9.0,-0.09851434204279218,2.0,4.0,4.0,3.0,1.0,1.0,1.0,-0.12320424231012224,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
4.0,-0.04012041338888526,2.0,0.0,-0.12471612052086328,1.0,3.0,4.0,1.0,1.0,2.0,1.0,0.016775301798996087,3.0,176.0,1.0,2.0,2.0,1.0,2.0,0
3.0,-0.02717163021283131,2.0,3.0,-0.008926859564535556,1.0,3.0,2.0,3.0,1.0,2.0,1.0,-0.14146244371565941,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.041739011285892,4.0,0.0,-0.10409369648960516,1.0,3.0,3.0,3.0,1.0,1.0,1.0,-0.098859973769406,3.0,2.0,2.0,3.0,2.0,1.0,2.0,0
4.0,-0.04012041338888526,4.0,3.0,-0.06500290299199772,5.0,5.0,1.0,3.0,542.0,4.0,1.0,0.016775301798996087,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,2.0,1.0,0.07561095401565615,5.0,5.0,3.0,3.0,1.0,4.0,3.0,-0.03191323528243637,3.0,2.0,685.0,4.0,1.0,2.0,2.0,0
1.0,-0.04012041338888526,4.0,3.0,-0.13372077484958045,1.0,4.0,4.0,2.0,1.0,3.0,1.0,0.07154990601560761,3.0,2.0,4.0,2.0,2.0,2.0,2.0,0
4.0,-0.04012041338888526,4.0,3.0,-0.08887406505557734,1.0,5.0,2.0,3.0,62.0,4.0,1.0,0.1019802416915029,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0
1.0,-0.03850181549187851,2.0,3.0,-0.11013211174533315,1.0,2.0,4.0,4.0,1.0,2.0,1.0,-0.11711817517494318,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0
4.0,-0.03526461969786503,2.0,3.0,-0.03572894833118782,5.0,5.0,4.0,3.0,1.0,3.0,2.0,-0.03191323528243637,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.02717163021283131,2.0,0.0,-0.038589250294427384,5.0,3.0,4.0,3.0,1.0,4.0,1.0,-0.06234357095833166,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0
4.0,-0.04012041338888526,4.0,0.0,-0.10624775105451398,3.0,3.0,4.0,3.0,1.0,4.0,1.0,-0.0136550338768992,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.03364602180085828,2.0,1.0,-0.05271419826104254,1.0,2.0,4.0,2.0,1.0,1.0,4.0,-0.10494604090458506,3.0,2.0,1.0,4.0,2.0,2.0,2.0,0
4.0,-0.020697238624804336,4.0,3.0,-0.020968377706074976,5.0,5.0,4.0,3.0,155.0,1.0,1.0,0.004603167528637974,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0
4.0,-0.02717163021283131,3.0,0.0,0.236705985574902,1.0,5.0,2.0,3.0,1.0,2.0,3.0,-0.007568966741720142,3.0,2.0,2.0,3.0,1.0,2.0,2.0,0
1.0,-0.04012041338888526,3.0,0.0,-0.09985621209962062,1.0,3.0,4.0,3.0,1.0,2.0,1.0,-0.019741101012078256,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0
4.0,-0.04335760918289874,4.0,3.0,-0.10363463568069017,2.0,3.0,1.0,2.0,1.0,1.0,2.0,-0.11711817517494318,3.0,2.0,2.0,3.0,2.0,1.0,2.0,0
